Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	73	1_1	1	1	2	1	23_2_1	1	0	0	1	4.09831619263	-532.0	114.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	74	1_1	1	1	4	1	23_4_1	3	0	1	0	0.987221956253	-446.0	-228.0	-441.0	-227.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	75	2_1	2	1	3	1	23_3_1	1	0	1	0	1.24600601196	339.0	-356.0	340.0	-357.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	76	ABS	0	0	3	1	24_3_1	NA	NA	0	1	2.65737819672	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	77	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.41591000557	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	78	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.2107000351	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	79	2_1	2	1	4	1	23_4_1	2	0	1	0	0.909783124924	-398.0	156.0	-407.0	157.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	80	ABS	0	0	1	1	24_1_1	NA	NA	0	1	0.928467035294	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	81	ABS	0	0	4	1	24_4_1	NA	NA	0	1	1.64589500427	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	82	3_1	3	1	4	1	23_4_1	-1	0	1	0	0.693207025528	7.0	-178.0	16.0	-175.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	83	ABS	0	0	3	1	24_3_1	NA	NA	0	1	1.38464713097	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	84	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.18722987175	None	None	None	None	1
