type,target,distractors,color,shape,index
SIC,ABS,24_2_1,2,1,392
SIC,ABS,24_3_1,3,1,393
SIC,ABS,24_4_1,4,1,394
SIC,ABS,24_1_2,1,2,395
SIC,ABS,24_2_2,2,2,396
SIC,ABS,24_3_2,3,2,397
SIC,ABS,24_4_2,4,2,398
SIC,ABS,24_1_3,1,3,399
SIC,ABS,24_2_3,2,3,400
SIC,ABS,24_4_3,4,3,401
SIC,ABS,24_1_4,1,4,402
SIC,ABS,24_2_4,2,4,403
SIC,ABS,24_3_4,3,4,404
SIC,ABS,24_4_4,4,4,405
SIC,ABS,24_1_1,1,1,406
SIC,ABS,24_2_1,2,1,407
SIC,ABS,24_3_1,3,1,408
SIC,ABS,24_4_1,4,1,409
SIC,ABS,24_1_2,1,2,410
SIC,ABS,24_2_2,2,2,411
SIC,ABS,24_3_2,3,2,412
SIC,ABS,24_4_2,4,2,413
SIC,ABS,24_1_3,1,3,414
SIC,ABS,24_2_3,2,3,415
SIC,ABS,24_3_3,3,3,416
SIC,ABS,24_1_4,1,4,417
SIC,ABS,24_2_4,2,4,418
SIC,ABS,24_3_4,3,4,419
SIC,ABS,24_4_4,4,4,420
SIC,ABS,24_1_1,1,1,421
SIC,ABS,24_2_1,2,1,422
SIC,ABS,24_3_1,3,1,423
SIC,ABS,24_4_1,4,1,424
SIC,ABS,24_1_2,1,2,425
SIC,ABS,24_2_2,2,2,426
SIC,ABS,24_3_2,3,2,427
SIC,ABS,24_4_2,4,2,428
SIC,ABS,24_1_3,1,3,429
SIC,ABS,24_2_3,2,3,430
SIC,ABS,24_3_3,3,3,431
SIC,ABS,24_4_3,4,3,432
SIC,ABS,24_2_4,2,4,433
SIC,ABS,24_3_4,3,4,434
SIC,ABS,24_4_4,4,4,435
SIC,ABS,24_1_1,1,1,436
SIC,ABS,24_2_1,2,1,437
SIC,ABS,24_3_1,3,1,438
SIC,ABS,24_4_1,4,1,439
SIC,ABS,24_1_2,1,2,440
SIC,ABS,24_2_2,2,2,441
SIC,ABS,24_3_2,3,2,442
SIC,ABS,24_4_2,4,2,443
SIC,ABS,24_1_3,1,3,444
SIC,ABS,24_2_3,2,3,445
SIC,ABS,24_3_3,3,3,446
SIC,ABS,24_4_3,4,3,447
SIC,ABS,24_1_4,1,4,448
SIC,ABS,24_3_4,3,4,449
SIC,ABS,24_4_4,4,4,450
SIC,ABS,24_1_1,1,1,451
SIC,ABS,24_2_1,2,1,452
SIC,ABS,24_3_1,3,1,453
SIC,ABS,24_4_1,4,1,454
SIC,ABS,24_1_2,1,2,455
SIC,ABS,24_2_2,2,2,456
SIC,ABS,24_3_2,3,2,457
SIC,ABS,24_4_2,4,2,458
SIC,ABS,24_1_3,1,3,459
SIC,ABS,24_2_3,2,3,460
SIC,ABS,24_3_3,3,3,461
SIC,ABS,24_4_3,4,3,462
SIC,ABS,24_1_4,1,4,463
SIC,ABS,24_2_4,2,4,464
SIC,ABS,24_4_4,4,4,465
SIC,ABS,24_1_1,1,1,466
SIC,ABS,24_2_1,2,1,467
SIC,ABS,24_3_1,3,1,468
SIC,ABS,24_4_1,4,1,469
SIC,ABS,24_1_2,1,2,470
SIC,ABS,24_2_2,2,2,471
SIC,ABS,24_3_2,3,2,472
SIC,ABS,24_4_2,4,2,473
SIC,ABS,24_1_3,1,3,474
SIC,ABS,24_2_3,2,3,475
SIC,ABS,24_3_3,3,3,476
SIC,ABS,24_4_3,4,3,477
SIC,ABS,24_1_4,1,4,478
SIC,ABS,24_2_4,2,4,479
SIC,ABS,24_3_4,3,4,480
